===== entry =====
0x5324 -> 0x780048e1  0x780048e1
0x5328 -> 0xd10a2801  0xd10a2801
0x532c -> 0x680048dd  0x680048dd
0x5330 -> 0x680949e1  0x680949e1
0x5334 -> 0xf44f4348  0xf44f4348
0x5338 -> 0xfbb0717a  0xfbb0717a
0x533c -> 0x49ddf0f1  PERIPH 0x49ddf0f1
0x5340 -> 0x48dc6008  PERIPH 0x48dc6008
0x5344 -> 0x49dd6800  PERIPH 0x49dd6800
0x5348 -> 0x48da6008  PERIPH 0x48da6008
0x534c -> 0x49dc6800  PERIPH 0x49dc6800
0x5350 -> 0x48d16008  PERIPH 0x48d16008
0x5354 -> 0x28017800  0x28017800
0x5358 -> 0x48d9d103  PERIPH 0x48d9d103
0x535c -> 0x49d76800  PERIPH 0x49d76800
0x5360 -> 0x48cd6008  PERIPH 0x48cd6008
0x5364 -> 0x28027800  0x28027800
0x5368 -> 0x2c02d160  0x2c02d160
0x536c -> 0x2c16d001  0x2c16d001
0x5370 -> 0x48d4d11a  PERIPH 0x48d4d11a
0x5374 -> 0x1c406800  0x1c406800
0x5378 -> 0x600849d2  0x600849d2
0x537c -> 0x68004608  0x68004608
0x5380 -> 0x7f7af5b0  0x7f7af5b0
0x5384 -> 0xf44fd302  0xf44fd302
0x5388 -> 0x6008707a  0x6008707a
0x538c -> 0x680048cd  0x680048cd
0x5390 -> 0xd802280a  0xd802280a
0x5394 -> 0x49cb200a  PERIPH 0x49cb200a
0x5398 -> 0x23006008  0x23006008
0x539c -> 0x46192209  PERIPH 0x46192209
0x53a0 -> 0x680048c8  0x680048c8
0x53a4 -> 0xf84af7fc  0xf84af7fc
0x53a8 -> 0xd0012c03  0xd0012c03
0x53ac -> 0xd1122c21  0xd1122c21
0x53b0 -> 0x680048c4  0x680048c4
0x53b4 -> 0xd802280a  0xd802280a
0x53b8 -> 0x49c22001  PERIPH 0x49c22001
0x53bc -> 0x48c16008  PERIPH 0x48c16008
0x53c0 -> 0x1e406800  0x1e406800
0x53c4 -> 0x600849bf  0x600849bf
0x53c8 -> 0x22092300  0x22092300
0x53cc -> 0x48bd4619  PERIPH 0x48bd4619
0x53d0 -> 0xf7fc6800  0xf7fc6800
0x53d4 -> 0x48bbf833  PERIPH 0x48bbf833
0x53d8 -> 0x49b36800  PERIPH 0x49b36800
0x53dc -> 0x48b36008  PERIPH 0x48b36008
0x53e0 -> 0xb9507800  0xb9507800
0x53e4 -> 0x680048b7  0x680048b7
0x53e8 -> 0x680949b1  0x680949b1
0x53ec -> 0xf44f4348  0xf44f4348
0x53f0 -> 0xfbb0717a  0xfbb0717a
0x53f4 -> 0x49b4f0f1  PERIPH 0x49b4f0f1
0x53f8 -> 0x48ac6008  PERIPH 0x48ac6008
0x53fc -> 0x28017800  0x28017800
0x5400 -> 0x48b0d10a  PERIPH 0x48b0d10a
0x5404 -> 0x49ac6800  PERIPH 0x49ac6800
0x5408 -> 0x43486809  PERIPH 0x43486809
0x540c -> 0x717af44f  0x717af44f
0x5410 -> 0xf0f1fbb0  0xf0f1fbb0
0x5414 -> 0x600849ac  0x600849ac
0x5418 -> 0xe00048ab  0xe00048ab
0x541c -> 0x6800e008  0x6800e008
===== case14 =====
0xa120 -> 0x10001624  SRAM 0x10001624
0xa124 -> 0x000047dc  FLASH 0x000047dc
0xa128 -> 0x10001628  SRAM 0x10001628
0xa12c -> 0x100015cc  SRAM 0x100015cc
0xa130 -> 0xe7b52e39  0xe7b52e39
0xa140 -> 0x20202020  0x20202020
0xa154 -> 0x10001778  SRAM 0x10001778
0xa158 -> 0xcfd5cab9  0xcfd5cab9
0xa58c -> 0x10001624  SRAM 0x10001624
0xa59c -> 0x20202020  0x20202020
0xa5ac -> 0xa4bba3b1  0xa4bba3b1
===== case63 =====
0x5b04 -> 0x10001744  SRAM 0x10001744
0x5b08 -> 0x10001764  SRAM 0x10001764
0x5b0c -> 0x10001746  SRAM 0x10001746
0x5b10 -> 0x10001778  SRAM 0x10001778
0x5b14 -> 0x10001745  SRAM 0x10001745
0x5b18 -> 0xe4ca2e35  0xe4ca2e35
